"FIPS","State","Year","Month","Employable Population","Employed","Unemployed"
"01","Alabama","1976","01","1,492,409   ","1,392,154   ","100,255   "
"02","Alaska","1976","01","159,154   ","147,809   ","11,345   "
"04","Arizona","1976","01","972,413   ","872,738   ","99,675   "
"05","Arkansas","1976","01","882,835   ","817,756   ","65,079   "
"06","California","1976","01","9,781,720   ","8,892,663   ","889,057   "
"08","Colorado","1976","01","1,232,334   ","1,164,563   ","67,771   "
"09","Connecticut","1976","01","1,443,606   ","1,302,422   ","141,184   "
"10","Delaware","1976","01","262,688   ","242,382   ","20,306   "
"11","District of Columbia","1976","01","339,378   ","308,820   ","30,558   "
"12","Florida","1976","01","3,592,149   ","3,248,523   ","343,626   "
"13","Georgia","1976","01","2,250,451   ","2,061,744   ","188,707   "
"15","Hawaii","1976","01","408,869   ","367,414   ","41,455   "
"16","Idaho","1976","01","366,173   ","346,216   ","19,957   "
"17","Illinois","1976","01","5,133,491   ","4,788,469   ","345,022   "
"18","Indiana","1976","01","2,418,961   ","2,260,951   ","158,010   "
"19","Iowa","1976","01","1,324,627   ","1,269,103   ","55,524   "
"20","Kansas","1976","01","1,061,055   ","1,015,585   ","45,470   "
"21","Kentucky","1976","01","1,489,641   ","1,406,646   ","82,995   "
"22","Louisiana","1976","01","1,513,827   ","1,417,816   ","96,011   "
"23","Maine","1976","01","475,639   ","433,990   ","41,649   "
"24","Maryland","1976","01","1,905,561   ","1,781,850   ","123,711   "
"25","Massachusetts","1976","01","2,715,161   ","2,435,124   ","280,037   "
"26","Michigan","1976","01","3,959,251   ","3,568,988   ","390,263   "
"27","Minnesota","1976","01","1,832,797   ","1,722,777   ","110,020   "
"28","Mississippi","1976","01","961,115   ","896,774   ","64,341   "
"29","Missouri","1976","01","2,088,814   ","1,963,951   ","124,863   "
"30","Montana","1976","01","327,276   ","308,066   ","19,210   "
"31","Nebraska","1976","01","715,752   ","692,137   ","23,615   "
"32","Nevada","1976","01","322,417   ","293,574   ","28,843   "
"33","New Hampshire","1976","01","391,585   ","364,963   ","26,622   "
"34","New Jersey","1976","01","3,281,099   ","2,944,762   ","336,337   "
"35","New Mexico","1976","01","475,004   ","432,875   ","42,129   "
"36","New York","1976","01","7,687,165   ","6,896,554   ","790,611   "
"37","North Carolina","1976","01","2,596,329   ","2,428,430   ","167,899   "
"38","North Dakota","1976","01","275,609   ","266,394   ","9,215   "
"39","Ohio","1976","01","4,756,109   ","4,371,860   ","384,249   "
"40","Oklahoma","1976","01","1,180,825   ","1,110,620   ","70,205   "
"41","Oregon","1976","01","1,074,151   ","969,974   ","104,177   "
"42","Pennsylvania","1976","01","5,105,548   ","4,693,332   ","412,216   "
"44","Rhode Island","1976","01","434,960   ","399,599   ","35,361   "
"45","South Carolina","1976","01","1,292,816   ","1,195,062   ","97,754   "
"46","South Dakota","1976","01","308,735   ","298,900   ","9,835   "
"47","Tennessee","1976","01","1,819,844   ","1,710,143   ","109,701   "
"48","Texas","1976","01","5,627,987   ","5,298,778   ","329,209   "
"49","Utah","1976","01","519,498   ","489,265   ","30,233   "
"50","Vermont","1976","01","213,667   ","195,099   ","18,568   "
"51","Virginia","1976","01","2,328,545   ","2,190,847   ","137,698   "
"53","Washington","1976","01","1,584,688   ","1,446,319   ","138,369   "
"54","West Virginia","1976","01","702,600   ","647,491   ","55,109   "
"55","Wisconsin","1976","01","2,125,315   ","2,003,102   ","122,213   "
"56","Wyoming","1976","01","175,876   ","168,592   ","7,284   "
"01","Alabama","1976","02","1,491,820   ","1,391,975   ","99,845   "
"02","Alaska","1976","02","158,961   ","147,666   ","11,295   "
"04","Arizona","1976","02","971,753   ","871,997   ","99,756   "
"05","Arkansas","1976","02","882,316   ","817,132   ","65,184   "
"06","California","1976","02","9,775,948   ","8,888,464   ","887,484   "
"08","Colorado","1976","02","1,232,109   ","1,164,631   ","67,478   "
"09","Connecticut","1976","02","1,442,758   ","1,301,572   ","141,186   "
"10","Delaware","1976","02","262,592   ","242,420   ","20,172   "
"11","District of Columbia","1976","02","339,539   ","308,976   ","30,563   "
"12","Florida","1976","02","3,591,389   ","3,247,280   ","344,109   "
"13","Georgia","1976","02","2,249,410   ","2,060,612   ","188,798   "
"15","Hawaii","1976","02","408,905   ","367,268   ","41,637   "
"16","Idaho","1976","02","365,886   ","345,965   ","19,921   "
"17","Illinois","1976","02","5,132,066   ","4,787,725   ","344,341   "
"18","Indiana","1976","02","2,418,034   ","2,259,666   ","158,368   "
"19","Iowa","1976","02","1,324,134   ","1,268,472   ","55,662   "
"20","Kansas","1976","02","1,060,584   ","1,015,127   ","45,457   "
"21","Kentucky","1976","02","1,489,199   ","1,406,247   ","82,952   "
"22","Louisiana","1976","02","1,513,026   ","1,417,468   ","95,558   "
"23","Maine","1976","02","475,595   ","433,930   ","41,665   "
"24","Maryland","1976","02","1,904,839   ","1,781,465   ","123,374   "
"25","Massachusetts","1976","02","2,714,974   ","2,434,220   ","280,754   "
"26","Michigan","1976","02","3,957,748   ","3,566,516   ","391,232   "
"27","Minnesota","1976","02","1,832,001   ","1,722,014   ","109,987   "
"28","Mississippi","1976","02","960,686   ","896,491   ","64,195   "
"29","Missouri","1976","02","2,087,305   ","1,962,686   ","124,619   "
"30","Montana","1976","02","327,202   ","308,039   ","19,163   "
"31","Nebraska","1976","02","715,577   ","691,996   ","23,581   "
"32","Nevada","1976","02","322,146   ","293,280   ","28,866   "
"33","New Hampshire","1976","02","391,323   ","364,669   ","26,654   "
"34","New Jersey","1976","02","3,280,097   ","2,944,167   ","335,930   "
"35","New Mexico","1976","02","474,831   ","432,640   ","42,191   "
"36","New York","1976","02","7,684,752   ","6,895,390   ","789,362   "
"37","North Carolina","1976","02","2,595,355   ","2,427,272   ","168,083   "
"38","North Dakota","1976","02","275,468   ","266,304   ","9,164   "
"39","Ohio","1976","02","4,756,607   ","4,371,539   ","385,068   "
"40","Oklahoma","1976","02","1,180,479   ","1,110,306   ","70,173   "
"41","Oregon","1976","02","1,073,446   ","969,351   ","104,095   "
"42","Pennsylvania","1976","02","5,104,850   ","4,691,940   ","412,910   "
"44","Rhode Island","1976","02","434,907   ","399,553   ","35,354   "
"45","South Carolina","1976","02","1,292,440   ","1,194,788   ","97,652   "
"46","South Dakota","1976","02","308,727   ","298,906   ","9,821   "
"47","Tennessee","1976","02","1,818,088   ","1,708,651   ","109,437   "
"48","Texas","1976","02","5,624,823   ","5,295,497   ","329,326   "
"49","Utah","1976","02","519,124   ","488,892   ","30,232   "
"50","Vermont","1976","02","213,554   ","194,960   ","18,594   "
"51","Virginia","1976","02","2,327,900   ","2,190,461   ","137,439   "
"53","Washington","1976","02","1,583,350   ","1,445,338   ","138,012   "
"54","West Virginia","1976","02","702,802   ","647,556   ","55,246   "
"55","Wisconsin","1976","02","2,124,456   ","2,002,200   ","122,256   "
"56","Wyoming","1976","02","175,705   ","168,416   ","7,289   "
"01","Alabama","1976","03","1,490,600   ","1,392,137   ","98,463   "
"02","Alaska","1976","03","159,067   ","147,858   ","11,209   "
"04","Arizona","1976","03","971,967   ","872,637   ","99,330   "
"05","Arkansas","1976","03","881,865   ","816,687   ","65,178   "
"06","California","1976","03","9,775,283   ","8,892,402   ","882,881   "
"08","Colorado","1976","03","1,231,539   ","1,164,628   ","66,911   "
"09","Connecticut","1976","03","1,442,821   ","1,301,890   ","140,931   "
"10","Delaware","1976","03","262,596   ","242,340   ","20,256   "
"11","District of Columbia","1976","03","339,517   ","309,128   ","30,389   "
"12","Florida","1976","03","3,591,633   ","3,249,159   ","342,474   "
"13","Georgia","1976","03","2,249,490   ","2,061,445   ","188,045   "
"15","Hawaii","1976","03","409,265   ","367,467   ","41,798   "
"16","Idaho","1976","03","366,000   ","346,021   ","19,979   "
"17","Illinois","1976","03","5,131,818   ","4,789,790   ","342,028   "
"18","Indiana","1976","03","2,418,009   ","2,260,937   ","157,072   "
"19","Iowa","1976","03","1,324,428   ","1,268,901   ","55,527   "
"20","Kansas","1976","03","1,060,837   ","1,015,396   ","45,441   "
"21","Kentucky","1976","03","1,488,878   ","1,406,193   ","82,685   "
"22","Louisiana","1976","03","1,513,093   ","1,417,499   ","95,594   "
"23","Maine","1976","03","475,697   ","434,134   ","41,563   "
"24","Maryland","1976","03","1,904,177   ","1,781,135   ","123,042   "
"25","Massachusetts","1976","03","2,715,650   ","2,435,324   ","280,326   "
"26","Michigan","1976","03","3,959,594   ","3,567,979   ","391,615   "
"27","Minnesota","1976","03","1,831,869   ","1,722,985   ","108,884   "
"28","Mississippi","1976","03","960,931   ","897,614   ","63,317   "
"29","Missouri","1976","03","2,087,996   ","1,963,435   ","124,561   "
"30","Montana","1976","03","327,131   ","308,017   ","19,114   "
"31","Nebraska","1976","03","715,419   ","692,073   ","23,346   "
"32","Nevada","1976","03","322,327   ","293,456   ","28,871   "
"33","New Hampshire","1976","03","391,413   ","364,765   ","26,648   "
"34","New Jersey","1976","03","3,282,199   ","2,945,972   ","336,227   "
"35","New Mexico","1976","03","475,109   ","432,733   ","42,376   "
"36","New York","1976","03","7,684,481   ","6,897,998   ","786,483   "
"37","North Carolina","1976","03","2,595,712   ","2,428,876   ","166,836   "
"38","North Dakota","1976","03","275,531   ","266,363   ","9,168   "
"39","Ohio","1976","03","4,757,822   ","4,372,663   ","385,159   "
"40","Oklahoma","1976","03","1,180,456   ","1,110,496   ","69,960   "
"41","Oregon","1976","03","1,072,689   ","969,546   ","103,143   "
"42","Pennsylvania","1976","03","5,106,719   ","4,691,831   ","414,888   "
"44","Rhode Island","1976","03","435,032   ","399,726   ","35,306   "
"45","South Carolina","1976","03","1,291,686   ","1,195,034   ","96,652   "
"46","South Dakota","1976","03","308,704   ","299,010   ","9,694   "
"47","Tennessee","1976","03","1,818,191   ","1,709,613   ","108,578   "
"48","Texas","1976","03","5,629,458   ","5,299,209   ","330,249   "
"49","Utah","1976","03","519,114   ","489,008   ","30,106   "
"50","Vermont","1976","03","213,610   ","194,978   ","18,632   "
"51","Virginia","1976","03","2,328,207   ","2,191,511   ","136,696   "
"53","Washington","1976","03","1,582,676   ","1,445,169   ","137,507   "
"54","West Virginia","1976","03","702,963   ","647,481   ","55,482   "
"55","Wisconsin","1976","03","2,124,610   ","2,002,973   ","121,637   "
"56","Wyoming","1976","03","175,782   ","168,487   ","7,295   "
"01","Alabama","1976","04","1,489,947   ","1,393,177   ","96,770   "
"02","Alaska","1976","04","160,192   ","148,970   ","11,222   "
"04","Arizona","1976","04","974,938   ","877,217   ","97,721   "
"05","Arkansas","1976","04","882,692   ","818,130   ","64,562   "
"06","California","1976","04","9,795,836   ","8,918,330   ","877,506   "
"08","Colorado","1976","04","1,231,011   ","1,164,119   ","66,892   "
"09","Connecticut","1976","04","1,446,187   ","1,306,078   ","140,109   "
"10","Delaware","1976","04","262,989   ","241,923   ","21,066   "
"11","District of Columbia","1976","04","338,609   ","308,673   ","29,936   "
"12","Florida","1976","04","3,594,014   ","3,258,015   ","335,999   "
"13","Georgia","1976","04","2,253,611   ","2,067,967   ","185,644   "
"15","Hawaii","1976","04","409,939   ","368,550   ","41,389   "
"16","Idaho","1976","04","367,439   ","347,164   ","20,275   "
"17","Illinois","1976","04","5,135,150   ","4,796,640   ","338,510   "
"18","Indiana","1976","04","2,421,035   ","2,269,249   ","151,786   "
"19","Iowa","1976","04","1,327,210   ","1,272,547   ","54,663   "
"20","Kansas","1976","04","1,063,168   ","1,017,765   ","45,403   "
"21","Kentucky","1976","04","1,489,497   ","1,407,354   ","82,143   "
"22","Louisiana","1976","04","1,516,323   ","1,418,904   ","97,419   "
"23","Maine","1976","04","476,036   ","434,823   ","41,213   "
"24","Maryland","1976","04","1,905,507   ","1,781,610   ","123,897   "
"25","Massachusetts","1976","04","2,717,527   ","2,441,683   ","275,844   "
"26","Michigan","1976","04","3,969,449   ","3,580,904   ","388,545   "
"27","Minnesota","1976","04","1,834,864   ","1,728,543   ","106,321   "
"28","Mississippi","1976","04","963,165   ","901,513   ","61,652   "
"29","Missouri","1976","04","2,095,946   ","1,970,155   ","125,791   "
"30","Montana","1976","04","327,166   ","308,014   ","19,152   "
"31","Nebraska","1976","04","715,705   ","692,831   ","22,874   "
"32","Nevada","1976","04","323,929   ","295,160   ","28,769   "
"33","New Hampshire","1976","04","392,657   ","366,173   ","26,484   "
"34","New Jersey","1976","04","3,290,889   ","2,952,460   ","338,429   "
"35","New Mexico","1976","04","476,571   ","433,984   ","42,587   "
"36","New York","1976","04","7,689,935   ","6,906,874   ","783,061   "
"37","North Carolina","1976","04","2,599,283   ","2,436,634   ","162,649   "
"38","North Dakota","1976","04","276,266   ","266,864   ","9,402   "
"39","Ohio","1976","04","4,757,433   ","4,376,405   ","381,028   "
"40","Oklahoma","1976","04","1,181,507   ","1,112,144   ","69,363   "
"41","Oregon","1976","04","1,073,735   ","972,719   ","101,016   "
"42","Pennsylvania","1976","04","5,112,956   ","4,696,196   ","416,760   "
"44","Rhode Island","1976","04","435,469   ","400,273   ","35,196   "
"45","South Carolina","1976","04","1,291,005   ","1,196,768   ","94,237   "
"46","South Dakota","1976","04","308,718   ","299,231   ","9,487   "
"47","Tennessee","1976","04","1,825,620   ","1,718,077   ","107,543   "
"48","Texas","1976","04","5,653,373   ","5,321,425   ","331,948   "
"49","Utah","1976","04","520,609   ","490,860   ","29,749   "
"50","Vermont","1976","04","214,211   ","195,593   ","18,618   "
"51","Virginia","1976","04","2,330,919   ","2,195,231   ","135,688   "
"53","Washington","1976","04","1,586,708   ","1,448,989   ","137,719   "
"54","West Virginia","1976","04","702,202   ","646,833   ","55,369   "
"55","Wisconsin","1976","04","2,128,063   ","2,008,413   ","119,650   "
"56","Wyoming","1976","04","176,667   ","169,387   ","7,280   "
"01","Alabama","1976","05","1,490,609   ","1,394,591   ","96,018   "
"02","Alaska","1976","05","161,814   ","150,449   ","11,365   "
"04","Arizona","1976","05","979,281   ","883,408   ","95,873   "
